,aid,noc
1215,884,GBR
1216,878,GBR
1217,885,USA
1218,876,USA
1219,886,USA
1220,887,GBR
1221,888,GBR
1222,889,USA
1223,560,USA
1224,890,HUN
1225,891,HUN
1226,892,HUN
1227,893,HUN
1228,552,USA
1229,894,USA
1230,873,USA
1231,895,USA
1232,896,GER
1233,897,GER
1234,898,GER
1235,899,GER
1236,900,SWE
1237,901,GBR
1238,902,GBR
1239,896,GER
1240,873,USA
1241,903,ITA
1242,904,USA
1243,579,USA
1244,905,USA
1245,906,FIN
1246,579,USA
1247,904,USA
1248,907,CAN
1249,186,USA
1250,908,USA
1251,909,USA
1252,910,FRA
1253,911,GBR
1254,912,HUN
1255,192,USA
1256,589,USA
1257,913,GRE
1258,914,SWE
1259,915,SWE
1260,916,NOR
1261,916,NOR
1262,915,SWE
1263,917,GRE
1264,918,CAN
1265,919,USA
1266,920,USA
1267,579,USA
1268,192,USA
1269,913,GRE
1270,921,USA
1271,922,USA
1272,923,RSA
1273,924,CAN
1274,925,USA
1275,926,SWE
1276,927,USA
1277,928,USA
1278,871,USA
1279,580,USA
1280,929,GBR
1281,930,NOR
1282,931,GBR
1283,932,CAN
1284,933,GBR
1285,934,GBR
1286,935,GBR
1287,936,GBR
1288,937,GBR
1289,938,GBR
1290,939,GBR
1291,940,GBR
1292,941,GBR
1293,942,GBR
1294,943,GBR
1295,944,GBR
1296,945,GBR
1297,946,GBR
1298,947,ANZ
1299,948,FRA
1300,949,GBR
1301,950,GBR
1302,951,CAN
1303,952,CAN
1304,953,CAN
1305,954,CAN
1306,955,GBR
1307,956,GBR
1308,957,GBR
1309,958,GBR
1310,959,GER
1311,960,GER
1312,961,GER
1313,962,GER
1314,963,GBR
1315,964,GBR
1316,965,FRA
1317,966,FRA
1318,967,GBR
1319,968,GBR
1320,969,BEL
1321,956,GBR
1322,955,GBR
1323,965,FRA
1324,955,GBR
1325,966,FRA
1326,962,GER
1327,970,GBR
1328,971,FRA
1329,972,FRA
1330,973,FRA
1331,974,FRA
1332,975,BEL
1333,976,BEL
1334,977,BEL
1335,978,BEL
1336,979,BEL
1337,973,FRA
1338,980,FRA
1339,981,FRA
1340,972,FRA
1341,982,GBR
1342,983,GBR
1343,984,GBR
1344,985,GBR
1345,986,BOH
1346,987,HUN
1347,988,HUN
1348,986,BOH
1349,989,BOH
1350,990,BOH
1351,991,BOH
1352,987,HUN
1353,992,HUN
1354,993,HUN
1355,994,HUN
1356,995,ITA
1357,996,ITA
1358,997,ITA
1359,998,ITA
1360,999,NED
1361,1000,NED
1362,1001,NED
1363,1002,NED
1364,1003,NED
1365,1004,NED
1366,1005,NED
1367,1006,NED
1368,1007,NED
1369,1008,NED
1370,1009,NED
1371,1010,GBR
1372,1011,GBR
1373,1012,GBR
1374,1013,GBR
1375,1014,GBR
1376,1015,GBR
1377,1016,GBR
1378,1017,GBR
1379,1018,GBR
1380,1019,GBR
1381,1020,GBR
1382,1021,DEN
1383,1022,DEN
1384,1023,DEN
1385,1024,DEN
1386,1025,DEN
1387,1026,DEN
1388,1027,DEN
1389,1028,DEN
1390,1029,DEN
1391,1030,DEN
1392,1031,DEN
1393,1032,FRA
1394,1033,ITA
1395,1034,GBR
1396,1035,FIN
1397,1036,FIN
1398,1037,FIN
1399,1038,FIN
1400,1039,FIN
1401,1040,FIN
1402,1041,FIN
1403,1042,FIN
1404,1043,FIN
1405,1044,FIN
1406,1045,FIN
1407,1046,FIN
1408,1047,FIN
1409,1048,FIN
1410,1049,FIN
1411,1050,FIN
1412,1051,FIN
1413,1052,FIN
1414,1053,FIN
1415,1054,FIN
1416,1055,FIN
1417,1056,FIN
1418,1057,FIN
1419,1058,FIN
1420,1059,FIN
1421,1060,SWE
1422,1061,SWE
1423,1062,SWE
1424,1063,SWE
1425,1064,SWE
1426,1065,SWE
1427,1066,SWE
1428,1067,SWE
1429,1068,SWE
1430,1069,SWE
1431,1070,SWE
