"AID","NAME","DOB","GENDER"
839,"HEBNER, Harry J.",,"Men"
840,"RICH, Leslie George",,"Men"
841,"FOSTER, William",,"Men"
842,"RADMILOVIC, Paul",,"Men"
843,"LAS TORRES, Béla",,"Men"
844,"MUNK, Jozsef",,"Men"
845,"ZACHAR, Imre",,"Men"
846,"CORNET, George Thomson",,"Men"
847,"FORSYTH, Charles Eric",,"Men"
848,"NEVINSON, George Wilfrid",,"Men"
849,"SMITH, Charles Sydney",,"Men"
850,"THOULD, Thomas Henry",,"Men"
851,"BOIN, Victor",,"Men"
852,"DONNERS, Hermann",,"Men"
853,"MEYBOOM, Herman",,"Men"
854,"PLETINCX, Joseph",,"Men"
855,"CABARET, Gustave",,"Men"
856,"GRISOT, EugÃ¨ne G.",,"Men"
857,"VERNET, Louis",,"Men"
858,"HILL-LOWE, Beatrice Geraldine",,"Women"
859,"NEWALL, Sybil Fenton Quenni",,"Women"
860,"DOD, Charlotte",,"Women"
861,"DOD, William",,"Men"
862,"BROOKS-KING, Reginald B.",,"Men"
863,"KERR, Robert",,"Men"
864,"WALKER, Reginald",,"Men"
865,"RECTOR, James",,"Men"
866,"SPENCER, Edward Adams",,"Men"
867,"LARNER, George Edward",,"Men"
868,"WEBB, Ernest",,"Men"
869,"SHAW, Arthur",,"Men"
870,"SMITHSON, Forrest",,"Men"
871,"GARRELS, John Carlyle",,"Men"
872,"HALLOWS, Norman",,"Men"
873,"SHEPPARD, Melvin",,"Men"
874,"WILSON, Harold",,"Men"
875,"CLOUGHEN, Robert",,"Men"
876,"EISELE, John Lincoln",,"Men"
877,"RUSSELL, Arthur",,"Men"
878,"ROBERTSON, Arthur James",,"Men"
879,"KERR, Harry E.",,"Men"
880,"DE FLEURAC, Louis N.",,"Men"
881,"DREHER, Joseph",,"Men"
882,"LIJANDIER, Paul",,"Men"
883,"COALES, William",,"Men"
884,"DEAKIN, Joseph Edmund",,"Men"
885,"BONHAG, George V.",,"Men"
886,"TRUBE, Herbert Lawrence",,"Men"
887,"HALSWELLE, Wyndham",,"Men"
888,"TREMEER, Leonard Francis",,"Men"
889,"BACON, Charles Joseph",,"Men"
890,"BODOR, Ödön",,"Men"
891,"NAGY, Jozsef",,"Men"
892,"RACZ, G.",,"Men"
893,"SIMON, Pal",,"Men"
894,"HAMILTON, William Frank",,"Men"
895,"TAYLOR, John Baxter",,"Men"
896,"BRAUN, Hans",,"Men"
897,"EICKE, Hans",,"Men"
898,"HOFFMANN, Artur",,"Men"
899,"TRIELOFF, Otto P.",,"Men"
900,"SVANBERG, Johan Fritiof",,"Men"
901,"VOIGT, Emil Robert",,"Men"
902,"OWEN, Edward",,"Men"
903,"LUNGHI, Emilio",,"Men"
904,"HORR, Marquis Franklin",,"Men"
905,"GIFFIN, Merritt Hayward",,"Men"
906,"JÄRVINEN, Werner",,"Men"
907,"WALSH, Cornelius",,"Men"
908,"MCGRATH, Matthew J.",,"Men"
909,"PORTER, Harry Franklin",,"Men"
910,"ANDRE, Georges",,"Men"
911,"LEAHY, Cornelius",,"Men"
912,"SOMODY, Istvan",,"Men"
913,"TSICLITIRAS, Konstantinos",,"Men"
914,"NILSSON, Otto",,"Men"
915,"LEMMING, Eric",,"Men"
916,"HALSE, Arne",,"Men"
917,"DORIZAS, Mikael M.",,"Men"
918,"BRICKER, Calvin David",,"Men"
919,"IRONS, Francis C.",,"Men"
920,"KELLY, Daniel",,"Men"
921,"FORSHAW, Joseph",,"Men"
922,"HAYES, John Joseph",,"Men"
923,"HEFFERON, Charles A.",,"Men"
924,"ARCHIBALD, Edward Blake",,"Men"
925,"JACOBS, Charles Sherman",,"Men"
926,"SÖDERSTRÖM, Bruno",,"Men"
927,"COOKE, Edward Tiffin",,"Men"
928,"GILBERT, Alfred Carleten",,"Men"
929,"HORGAN, Dennis",,"Men"
930,"LARSEN, Edvard",,"Men"
931,"AHEARNE, Timoty J.",,"Men"
932,"MACDONALD, J.Garfield",,"Men"
933,"WEBB, William",,"Men"
934,"THOMAS, A. Henry",,"Men"
935,"CONDON, John",,"Men"
936,"PARKS, Frederick",,"Men"
937,"OLDMAN, Albert Leonard",,"Men"
938,"EVANS, Sydney Charles H.",,"Men"
939,"RODDIN, Hugh",,"Men"
940,"GUNN, Richard Kenneth",,"Men"
941,"MORRIS, Charles W.",,"Men"
942,"JOHNSON, Harry H.",,"Men"
943,"GRACE, Frederick",,"Men"
944,"SPILLER, M. Frederick",,"Men"
945,"PHILO, William",,"Men"
946,"DOUGLAS, John William Henry T.",,"Men"
947,"BAKER, Reginald L.",,"Men"
948,"LAPIZE, Octave",,"Men"
949,"BARTLETT, Charles Henry",,"Men"
950,"DENNY, Arthur",,"Men"
951,"ANDERSON, William",,"Men"
952,"ANDREWS, Walter",,"Men"
953,"MCCARTHY, Frederick",,"Men"
954,"MORTON, William",,"Men"
955,"JONES, Benjamin",,"Men"
956,"KINGSBURY, Clarence Brickwood",,"Men"
957,"MEREDITH, Leonard Lewis",,"Men"
958,"PAYNE, Ernest",,"Men"
959,"GÖTZE, Max",,"Men"
960,"KATZER, Rudolf",,"Men"
961,"MARTENS, Herman",,"Men"
962,"NEUMER, Karl",,"Men"
963,"BROOKS, Colin",,"Men"
964,"ISAACS, Walter H.T.",,"Men"
965,"AUFFRAY, André",,"Men"
966,"SCHILLES, Maurice",,"Men"
967,"HAMLIN, Frederick G.",,"Men"
968,"JOHNSON, Horace Thomas",,"Men"
969,"WERBROECK, Joseph",,"Men"
970,"JOHNSON, Victor Louis",,"Men"
971,"DEMANGEL, Emile",,"Men"
972,"OLIVIER, Eugène Victor",,"Men"
973,"ALIBERT, Gaston",,"Men"
974,"LIPPMANN, Alexandre",,"Men"
975,"ANSPACH, Paul",,"Men"
976,"BEURAIN, Désiré",,"Men"
977,"DE MONTIGNY, Fernand",,"Men"
978,"FEYERICK, Ferdinand",,"Men"
979,"ROM, François",,"Men"
980,"BERGER, Henri-Georges",,"Men"
981,"COLLIGNON, Charles",,"Men"
982,"DANIELL, Charles Leaf",,"Men"
983,"HAIG, Cecil Henry",,"Men"
984,"HOLT, Martin Drummond",,"Men"
985,"MONTGOMERIE, Robert Cecil",,"Men"
986,"GOPPOLD DE LOBSDORF, Vilem",,"Men"
987,"FUCHS, Jenö",,"Men"
988,"ZULAWSKY, Béla",,"Men"
989,"LADA, Vlastimil",,"Men"
990,"SCHEJBAL, Bedrich",,"Men"
991,"TUCEK, Frantisek",,"Men"
992,"GERDE, Oskar",,"Men"
993,"TOTH, Peter",,"Men"
994,"WERKNER, Lajos",,"Men"
995,"BERTINETTI, Marcello",,"Men"
996,"NOWAK, Riccardo",,"Men"
997,"OLIVIER, Abelardo",,"Men"
998,"PIRZIO BIROLI, Alessandro",,"Men"
999,"BREUWKES, Reinier Bertus",,"Men"
1000,"DE BRUYN KOPS, George François",,"Men"
1001,"DE KORVER, Johannes Marius",,"Men"
1002,"HEIJTING, Karel",,"Men"
1003,"MUNDT, Emil Gustav",,"Men"
1004,"OTTEN, Lou",,"Men"
1005,"REEMAN, Gerald Simon",,"Men"
1006,"SNETLAGE, Eduard",,"Men"
1007,"SOL, Johan Eduard",,"Men"
1008,"THOMEE, Jan",,"Men"
1009,"WELCKER, Jan Herman",,"Men"
1010,"BAILEY, Horace Peter",,"Men"
1011,"BERRY, Arthur",,"Men"
1012,"CHAPMAN, Frederick William",,"Men"
1013,"CORBETT, Walter Samuel",,"Men"
1014,"HARDMAN, Harold Payne",,"Men"
1015,"HAWKES, Robert Murray",,"Men"
1016,"HUNT, Kenneth Reginald Gunnery",,"Men"
1017,"PURNELL, Clyde Honeysett",,"Men"
1018,"SMITH, Herbert",,"Men"
1019,"STAPLEY, Henry",,"Men"
1020,"WOODWARD, Vivian John",,"Men"
1021,"BOHR, Harald August",,"Men"
1022,"BUCHWALD, Charles",,"Men"
1023,"DRESCHER, Ludwig",,"Men"
1024,"HANSEN, Harald",,"Men"
1025,"LINDGREEN, August Ludwig",,"Men"
1026,"MIDDELBOE, Christian",,"Men"
1027,"MIDDELBOE, Niels",,"Men"
1028,"NIELSEN, Niels Oscar",,"Men"
1029,"NIELSEN, Sofus Erhard",,"Men"
1030,"RASMUSSEN, Björn Vilhelm Ravn",,"Men"
1031,"WOLFHAGEN, Vilhelm",,"Men"
1032,"SEGURA, B. Louis",,"Men"
1033,"BRAGLIA, G. Alberto",,"Men"
1034,"TYSAL, S.W.",,"Men"
1035,"FORSSTRÖM, Eino Vilho",,"Men"
1036,"GRANSTRÖM, Otto",,"Men"
1037,"KEMP, Johan Valdemar",,"Men"
1038,"KYYKOSKI, Livara",,"Men"
1039,"LEHMUSTO, Heikki",,"Men"
1040,"LINDROTH, Johan",,"Men"
1041,"LINKO, Yrjö",,"Men"
1042,"LINNA, Edvard",,"Men"
1043,"MARKKANEN, Matti",,"Men"
1044,"MIKKOLAINEN, Kaasrlo Eino",,"Men"
1045,"NIEMINEN, Veli Heikki",,"Men"
1046,"PAASIA, Kaarlo Kustaa",,"Men"
1047,"POHJANPÄÄ, Arvi",,"Men"
1048,"POHJONEN, Aarne",,"Men"
1049,"RAILIO, Eino",,"Men"
1050,"RÜPINEN, H.A.",,"Men"
1051,"SAARINEN, Arno",,"Men"
1052,"SAHLSTEIN, Einar Werner",,"Men"
1053,"SALOVAARA, Aarne",,"Men"
1054,"SANDELIN, Karl Viktor Torsten",,"Men"
1055,"SIPILÄ, Eljas E.",,"Men"
1056,"SMEDS, Viktor",,"Men"
1057,"SOINIO, Kaarlo Kyösti",,"Men"
1058,"STENBERG, Kurt Enoch",,"Men"
1059,"WEGELIUS, Karl Magnus",,"Men"
1060,"ANDERSSON, T.",,"Men"
1061,"ASBRINK, Gosta",,"Men"
1062,"BERGMAN, C.",,"Men"
1063,"BERTILSSON, Per Daniel",,"Men"
1064,"CARLBERG, G. Vilhelm",,"Men"
1065,"CEDERCRONA, Hjalmar Axel Ritz",,"Men"
1066,"CERVIN, Andreas",,"Men"
1067,"DEGERMARK, Rudolf",,"Men"
1068,"ERIKSSON, C.",,"Men"
1069,"FOLCKER, Carl Wilhelm",,"Men"
1070,"FORSSEN, S.",,"Men"
1071,"FORSSMAN, Sven",,"Men"
1072,"GEIDEL, F.",,"Men"
1073,"GRANFELT, Erik",,"Men"
1074,"HARLEMANN, Carl",,"Men"
1075,"HELLSTEN, Nils Erik",,"Men"
1076,"HÖJER, Gunnar",,"Men"
1077,"HOLMBERG, Arvid",,"Men"
1078,"HOLMBERG, Carl",,"Men"
1079,"HOLMBERG, Osvald",,"Men"
1080,"JAHNKE, Hugo",,"Men"
1081,"JANSSON, O.",,"Men"
1082,"JARTEN, Johan",,"Men"
1083,"JOHNSSON, Gustag",,"Men"
1084,"JOHNSSON, Rolf",,"Men"
1085,"JONSSON, H.",,"Men"
1086,"KANTZOW, Nils",,"Men"
1087,"KIRISTEN, L.",,"Men"
1088,"KJELLEN, L.",,"Men"
1089,"LANDBERG, Sven",,"Men"
1090,"LANNER, Olle",,"Men"
1091,"LJUNG, Axel",,"Men"
1092,"MOBERG, Osvald",,"Men"
1093,"MÖLLER, J.",,"Men"
1094,"NILSSON, Per Einar",,"Men"
1095,"NORBERG, D.",,"Men"
1096,"NORBERG, Eric",,"Men"
1097,"NORBERG, Thomas",,"Men"
1098,"NORLING, Axel",,"Men"
1099,"NORLING, Lars Daniel",,"Men"
1100,"OLSEN, G.",,"Men"
1101,"PETTERSON, Leonard",,"Men"
1102,"RASSANDER, H.",,"Men"
1103,"ROSEN, Sven",,"Men"
1104,"ROSENQUIST, Gustaf",,"Men"
1105,"RYDIN, C.",,"Men"
1106,"SANDBERG, S.",,"Men"
1107,"SEGER, Albert",,"Men"
1108,"SEGER, Alex",,"Men"
1109,"SILFVERSTRAND, Carl",,"Men"
1110,"SJÖBLOM, Axel",,"Men"
1111,"SÖRVIK, Birger",,"Men"
1112,"SÖRVIK, Haakon",,"Men"
1113,"STIERNSPETZ, Yngve",,"Men"
1114,"SVENSSON, Karl Johan",,"Men"
1115,"VINGQVIST, Karl Gustaf",,"Men"
1116,"WIDELL, F.",,"Men"
1117,"WIEKMAN, G.",,"Men"
1118,"WIMAN, David",,"Men"
1119,"AMUNDSEN, Arthur M.",,"Men"
1120,"AUTHEN, Otto F.",,"Men"
1121,"BERSEN, P.A.",,"Men"
1122,"BOHNE, Hermann",,"Men"
1123,"BOYESEN, Trygve Carlsen",,"Men"
1124,"BYE, Oscar Wilhelm",,"Men"
1125,"CARLSRUD, Conrad M.",,"Men"
1126,"ENGEBRETSEN, Eugene",,"Men"
1127,"FORSTENSEN, J.",,"Men"
1128,"GRÖNER, Sverre",,"Men"
1129,"HALVORSEN, Harald",,"Men"
1130,"HOL, Peter",,"Men"
1131,"IVERSEN, Ole",,"Men"
