year,dname
1992,Weightlifting
1992,Wrestling Free.
1992,Wrestling Gre-R
1996,Diving
1996,Swimming
1996,Synchronized S.
1996,Water polo
1996,Archery
1996,Athletics
1996,Badminton
1996,Baseball
1996,Basketball
1996,Boxing
1996,Canoe / Kayak F
1996,Canoe / Kayak S
1996,Cycling Road
1996,Cycling Track
1996,Mountain Bike
1996,Dressage
1996,Eventing
1996,Jumping
1996,Fencing
1996,Football
1996,Artistic G.
1996,Rhythmic G.
1996,Handball
1996,Hockey
1996,Judo
1996,Modern Pentath.
1996,Rowing
1996,Sailing
1996,Shooting
1996,Softball
1996,Table Tennis
1996,Tennis
1996,Beach volley.
1996,Volleyball
1996,Weightlifting
1996,Wrestling Free.
1996,Wrestling Gre-R
2000,Diving
2000,Swimming
2000,Synchronized S.
2000,Water polo
2000,Archery
2000,Athletics
2000,Badminton
2000,Baseball
2000,Basketball
2000,Boxing
2000,Canoe / Kayak F
2000,Canoe / Kayak S
2000,Cycling Road
2000,Cycling Track
2000,Mountain Bike
2000,Dressage
2000,Eventing
2000,Jumping
2000,Fencing
2000,Football
2000,Artistic G.
2000,Rhythmic G.
2000,Trampoline
2000,Handball
2000,Hockey
2000,Judo
2000,Modern Pentath.
2000,Rowing
2000,Sailing
2000,Shooting
2000,Softball
2000,Table Tennis
2000,Taekwondo
2000,Tennis
2000,Triathlon
2000,Beach volley.
2000,Volleyball
2000,Weightlifting
2000,Wrestling Free.
2000,Wrestling Gre-R
2004,Diving
2004,Swimming
2004,Synchronized S.
2004,Water polo
2004,Archery
2004,Athletics
2004,Badminton
2004,Baseball
2004,Basketball
2004,Boxing
2004,Canoe / Kayak F
2004,Canoe / Kayak S
2004,Cycling Road
2004,Cycling Track
2004,Mountain Bike
2004,Dressage
2004,Eventing
2004,Jumping
2004,Fencing
2004,Football
2004,Artistic G.
2004,Rhythmic G.
2004,Trampoline
2004,Handball
2004,Hockey
2004,Judo
2004,Modern Pentath.
2004,Rowing
2004,Sailing
2004,Shooting
2004,Softball
2004,Table Tennis
2004,Taekwondo
