Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Luxembourg,LUX,703925705.943,903158753.944,1066447130.821,1988356062.689,3579594984.326,6294122223.755,4640690519.408,9847344377.4,16225873776.662,21703979153.094,21375345494.748,34343804320.834,55144865973.341,55986712367.799
Latvia,LVA,,,,,,,,,,5966697294.538,7934770567.787,14359465331.078,35542093261.219,28023276371.579
Morocco,MAR,2037154689.044,2798345225.928,3271415867.997,5074117544.775,9584323309.121,21728770055.378,14824728528.46,25705139618.596,33711069430.78,43161452678.438,38857251336.345,59626020162.382,92507257783.57,98266306615.363
Moldova,MDA,,,,,,,,,2320435308.343,1695130456.522,1288420222.948,2598231467.437,6054806100.847,7284686576.284
Mexico,MEX,13056164925.448,20070134740.932,29363632833.656,45178119326.794,89023916066.801,194356825709.199,175632163244.416,183144276294.09,363609268789.416,397404138184.313,683647980782.407,770267585947.191,1101275278668.79,1186598324461.82
Mongolia,MNG,,,,,,,2098734600,3204461566.667,1317611863.85,1345719435.207,1136896162.176,1992066758.852,5623216609.635,12292770631.197
Mozambique,MOZ,,,,,,3526259828.242,3372771556.98,2093393433.27,2291175764.66,3523842274.897,5016469068.509,6831808930.398,11494837053.406,14534278446.309
Mauritius,MUS,,,,,706988629.199,1136544235.954,1044926100.857,2143480499.861,3224265821.368,4421952122.977,4582562398.669,6385691316.683,9641089804.87,11445657237.937
Malaysia,MYS,1916216984.244,2674406486.533,3330371626.66,5043268360.412,11050125953.039,24488034454.766,33943505214.923,35271881262.664,59167157497.938,100854996422.609,93789736842.105,124749736842.105,230813597937.526,314442825692.826
Namibia,NAM,,,,,,2434779477.623,1960596972.766,2506590439.494,3448326858.345,3945340776.405,3908661517.623,6606858786.012,8486721916.913,13016152023.594
Niger,NER,449526872.566,582816396.216,641214226.839,742779659.455,1064517600.101,2508524715.795,1461243326.838,2280356194.146,2344987614.274,1987770898.543,1798374468.364,3052898739.468,5403363917.31,6942209594.554
Nigeria,NGA,4196174329.175,5552931090.744,5200895982.08,12274416017.798,36308883248.731,64201788122.605,28500815241.471,23272161396.885,29300921681.196,34987951375,46385996028.948,87845403978.274,208064753766.47,460953836444.364
Netherlands,NLD,12276734172.083,18699380731.346,27817605743.25,54008338917.88,107775403067.178,192661371425.405,142075910370.879,258567751142.825,358330385839.599,445704575163.399,412807259996.315,650532654581.574,936228211513.11,828946812396.788
Norway,NOR,5163271598.157,7159202706.48,10159934136.784,17358610849.701,35942270686.337,64439382896.016,62057955032.776,101900260856.222,130838040067.584,163517783497.163,171315639982.731,264357494659.388,461946808510.638,509704856037.817
New Zealand,NZL,5485854791.971,7274144350.818,5180597620.641,9567331064.657,13604832424.006,23245512449.334,21665456808.047,45176167471.82,41649298170.991,70140835299.015,52623281956.703,103905210084.034,133278976593.801,176617424296.729
Pakistan,PAK,3707055835.551,5130407637.429,8090088412.653,9309109507.236,13338485493.76,23689697680.495,31151825046.656,38472741068.588,48635176852.767,63320122807.122,73952374969.8,97977766197.672,170077814106.305,224646134571.4
Panama,PAN,440255900,636136900,912064400,1334108700,2074539000,4034408100,5406634200,5161200500,7032023200,9870392300,12303975900,15013275300,24522200000,39954761200
Peru,PER,2503708500.564,4241381118.549,5583979280.167,8945736419.977,15519319139.347,17655611231.351,17132968269.244,15029999286.113,35180917546.385,53975714093.632,50980861887.16,66695121799.754,121572308718.616,192703386156.047
Philippines,PHL,6684685516.843,5271360642.233,7591602924.48,8017418383.19,17097658629.655,32450398739.968,31408478618.452,37885485202.879,52976344928.956,82848140618.027,81026297144.28,91371239764.882,174195135053.121,250092093547.532
