Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Peru,PER,10061519,11281015,12629333,14072476,15639898,17359118,19099575,20909897,22737056,24441076,25914875,27273188,28642048,30158768
Philippines,PHL,26273023,29962877,33797041,37925400,42461189,47396966,52873979,58844392,65078901,71437381,77932247,84596249,90297115,96017322
Poland,POL,29637450,31139450,32294655,33055650,34356300,35574150,36904134,37824487,38363667,38624370,38258629,38182222,38125759,38063164
Puerto Rico,PRI,2358000,2554066,2662064,2817256,3043854,3206000,3344190,3473898,3585176,3724655,3810605,3826878,3760866,3634487
Portugal,PRT,8857716,9035365,8836650,8630430,9355810,9766312,9996232,10019610,9952494,10063945,10289898,10483861,10558177,10514844
Paraguay,PRY,1902871,2114095,2350900,2596741,2861582,3180628,3567750,3994328,4432738,4870695,5302703,5703742,6047131,6379162
Qatar,QAT,47309,67487,93043,130377,173759,223715,341286,445203,489668,511864,593453,732096,1388962,2015624
Romania,ROU,18406905,18919126,19799831,20657957,21551634,22242653,22655940,23057662,22794284,22619004,22442971,21451748,20537875,20058035
Saudi Arabia,SAU,4086539,4677409,5389848,6382106,7845300,9912917,12674089,15239174,17398523,19331311,21392273,24055573,26742842,29496047
Sudan,SDN,7527450,8475765,9598196,10918137,12506035,14418063,16559205,18669146,21820588,25466387,28079664,31176209,34470138,37712420
Senegal,SEN,3177560,3547939,3975614,4485342,5031849,5568651,6246140,7062540,7990736,8939438,9860578,10967016,12229703,13780108
Singapore,SGP,1646400,1841600,2012000,2152400,2293300,2413945,2732221,2846108,3230698,3670704,4027887,4166664,4839396,5312437
Serbia,SRB,,,,,,,,,7646424,7617794,7516346,7463157,7350222,7199077
Suriname,SUR,289972,322995,359735,371318,361368,362777,367611,391851,423572,453653,480751,489312,506657,528535
Slovenia,SVN,1584720,1632114,1704546,1752233,1820249,1901315,1932154,1995196,1996498,1988628,1988925,1997012,2021316,2057159
Sweden,SWE,7484656,7661354,7912273,8122300,8222286,8310531,8336605,8436489,8668067,8840998,8872109,8993531,9219637,9519374
Togo,TGO,1580513,1662072,1945781,2247575,2464457,2720838,3140355,3579489,3984356,4392941,4874735,5428552,6052937,6745581
Thailand,THA,27397178,30881332,34790945,39061999,43386846,47385325,51105438,54933561,57761574,59878955,62693322,65404522,66453255,67164130
Tajikistan,TJK,2064035,2401598,2743461,3112041,3511050,3917642,4400743,5008827,5523207,5862224,6186152,6666628,7254072,7930929
Tonga,TON,61600,71757,81096,86349,89258,93007,93838,94680,95421,96174,97898,100226,102816,104769
Trinidad and Tobago,TTO,848481,903272,931466,968742,1025655,1085308,1155701,1204890,1237486,1258365,1267980,1290535,1315372,1341579
Tunisia,TUN,4220701,4530835,4933131,5294325,5742339,6384000,7042550,7857619,8489900,9089300,9552500,9932400,10328900,10777500
Turkey,TUR,27553280,30292969,33196289,36475356,40100696,43905790,48138191,52126497,55811134,59451488,63240157,66973561,70344357,74849187
